Plot #, Date,Tag #,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
195,2022,153,PIJE,L,,29.4,10.7,80,C,2.9,1.75,,2.5,10,20,,,,,,,
195,2022,156,QUKE,D,,47.65,11.5,,,,,3,4,,,,,,,,,
195,2022,159,QUKE,L,,13.4,7.3,80,I,1.2,2.25,,0,,,,,,,,,
195,2022,162,QUKE,L,,11.3,7.4,70,I,2,2,,0,,,,,,,,,
195,2022,163,QUKE,L,,10.8,5,90,I,1.4,1.5,,0,,,,,,,,,
195,2022,165,QUKE,L,,15.9,7,100,I,1.1,2.5,,0,,,,,,,,,
196,2022,,,,,,,,,,,,,,,,,,,,,
196,2022,166,QUKE,D,,39.5,3.8,,,,,5,3.8,,,,,,,,,
196,2022,167,QUKE,D,,36.5,2.2,,,,,5,2.2,,,,,,,,,
196,2022,168,QUKE,L,,15.15,6.6,100,I,0.2,2,,0,,,,,,,,,
196,2022,171,QUKE,L,,46.2,12.3,100,C,0.9,3.5,,0,,,,,,,,,
196,2022,172,QUKE,D,,22.35,6.2,,,,,5,0,,,,,,,,,
196,2022,173,QUKE,L,,56.8,11,100,C,1.4,4.5,,0,,,,,,,,,
196,2022,174,QUKE,L,,16.9,9.3,100,I,1.6,2.25,,0,,,,,,,,,
196,2022,175,QUKE,L,,64.35,12.2,90,C,0.5,4,,0.64,,,,,,,,,
197,2022,,,,,,,,,,,,,,,,,,,,,
197,2022,183,QUKE,L,,43.65,7.8,80,C,2.1,4,,0.76,,,,,,,,,
197,2022,184,QUKE,L,,36.15,11,80,C,2.3,4,,0,,,,,,,,,
197,2022,185,PIJE,L,,35.6,11.4,80,C,6.3,2.5,,2.4,6.4,,,,,,,,
197,2022,186,PIJE,L,,59.3,20.9,90,C,9.2,3,,5,9,,,,,,,,
197,2022,187,PIJE,L,,47.55,20.8,70,C,10.5,2.5,,5,15.2,,,,,,,,
198,2022,,,,,,,,,,,,,,,,,,,,,
198,2022,189,QUKE,D,,,,,,,,,,,,,,,,,,Fell over due to fire.
198,2022,190,PIJE,L,,48.45,18.6,90,D,10.6,3.25,,7.8,10.3,15,,,,,,,
198,2022,192,QUKE,D,,9.6,5.8,,,,,1,0.94,5.8,95,,,,,,,
198,2022,193,QUKE,D,,7.75,5.2,,,,,1,0,5.2,95,,,,,,,
198,2022,194,QUKE,D,,50.65,10.1,,,,,1,3.6,10.1,90,,,,,,,
198,2022,195,QUKE,D,,38.3,12,,,,,1,4.6,12,90,,,,,,,
198,2022,197,PIJE,D,,,,,,,,,,,,,,,,,,Fell over due to fire.
199,2022,,,,,,,,,,,,,,,,,,,,,
199,2022,212,QUKE,L,,49.3,14.2,60,C,7.6,6.4,,1.36,7.6,40,,,,,,,
199,2022,213,QUKE,L,,39.5,8.4,40,C,5.8,4.5,,0.6,5.8,60,,,,,,,
199,2022,214,QUKE,D,,21,4,,,,,5,4,,,,,,,,,
199,2022,215,QUKE,D,,,,,,,,,,,,,,,,,,Gone.
199,2022,216,QUKE,L,,35.05,10.8,30,C,7.9,1.5,,0.3,9.2,70,,,,,,,
199,2022,217,PIJE,D,,13.15,4.3,,,,,1,1.6,4.3,100,,,,,,,
199,2022,218,PIJE,D,,23.85,8,,,,,1,3.2,8,100,,,,,,,
199,2022,220,QUKE,D,,64,9,,,,,1,2.96,9,80,,,,,,,
199,2022,221,QUKE,D,,48.1,9.7,,,,,1,4,9.6,80,,,,,,,
199,2022,222,PIJE,L,,25.65,12.6,40,C,8.4,1.25,,3.9,8.4,60,,,,,,,
199,2022,223,PIJE,D,,18.05,6.8,,,,,1,6.8,6.8,80,,,,,,,
199,2022,224,QUKE,L,,92.7,10.9,30,C,4.2,3,,0.3,6.5,60,,,,,,,
200,2022,,,,,,,,,,,,,,,,,,,,,
200,2022,199,QUKE,D,,54.3,4.4,,,,,5,0,,,,,,,,,
200,2022,202,QUKE,L,,8.1,5.9,60,I,4.3,1.75,,0.3,4.5,40,,,,,,,
200,2022,203,QUKE,L,,23.05,7.2,70,I,4,3.5,,1,4.5,30,,,,,,,
200,2022,204,QUKE,L,,11.35,6.3,60,I,3.5,2,,0.3,3.1,10,,,,,,,
200,2022,205,QUKE,L,,17.45,6.8,80,I,3.8,2,,0.5,3,20,,,,,,,
200,2022,206,QUKE,L,,12.85,6.7,90,I,3.2,2.5,,0.2,2.3,10,,,,,,,
200,2022,207,QUKE,D,,48.4,11,,,,,1,0.45,,,,,,,,,
200,2022,208,QUKE,L,,61.05,15.2,90,C,0.8,3.25,,0.6,2,5,,,,,,,
200,2022,209,QUKE,L,,41.1,14.6,80,I,1,5,,0.4,2,0.5,,,,,,,
200,2022,210,PIJE,L,,10.35,5.2,100,S,1,1,,0,,,,,,,,,
