"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","Year","Treatment","Visited","Index","IsVerified","QTR","SubFrac","UV3","MacroPlotSize","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","X","treatment_burn","experiment"
"_154","PreBurnYear1","10/14/2020 11:10:08 AM",107,"L",49.3,17,80,"C",9.8,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR-SL",1.2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",109,"L",51.8,15.2,80,"C",11.6,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",110,"L",119,11.2,40,"S",1.4,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TSA",1.5,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",113,"L",7.8,4,60,"S",1.7,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",1.3,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",114,"L",49.3,16.2,80,"C",8.4,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TSE",0,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",116,"L",36.25,18.2,80,"C",10.2,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TSA",1.2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",117,"L",25.2,12.6,50,"I",10,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",1.4,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",118,"L",65.4,14.6,90,"C",2.5,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TOV",0,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",119,"L",70.3,15.6,90,"C",0.3,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TOV",0,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",120,"L",14.5,4.8,80,"S",1.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TOV",1.7,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",121,"L",12.35,4.8,80,"S",1.4,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",1.4,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",123,"L",20.6,8.6,100,"I",2.2,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSE",1.1,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",124,"L",7.7,6.5,100,"I",1.5,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TOV",2.5,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",127,"L",25.3,7.8,90,"I",0.7,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSA",1.1,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",131,"L",42.7,17.8,90,"C",11,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSA",0.8,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",133,"L",10.2,4.5,70,"S",2.4,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",2.9,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",134,"L",63.2,22,90,"C",15,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",0.9,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",135,"L",42.9,18.6,90,"C",12.2,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",1.1,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",138,"L",12.85,5.8,60,"S",0.7,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",2.2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",139,"D",14.3,4.5,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_158","PreBurnYear1","10/14/2020 11:10:08 AM",140,"L",43.95,17.4,70,"C",11.2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSE",0.1,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_157","PreBurnYear1","10/14/2020 11:10:08 AM",141,"L",47.2,17,40,"C",13.4,NA,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSA",3.1,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_157","PreBurnYear1","10/14/2020 11:10:08 AM",142,"L",63.3,22.2,70,"C",16,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSA",0.9,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_157","PreBurnYear1","10/14/2020 11:10:08 AM",146,"L",43.8,9.2,10,"I",3.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSA",1.4,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_157","PreBurnYear1","10/14/2020 11:10:08 AM",147,"L",52.8,18.2,70,"C",11.2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TSE",3,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_157","PreBurnYear1","10/14/2020 11:10:08 AM",148,"L",60.8,22.8,80,"C",11.2,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",2.5,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",226,"L",14.55,7,90,"I",0.2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",227,"L",16.5,7.4,90,"I",0.2,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",228,"L",8.95,5.4,70,"I",0.8,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",229,"L",8.55,5.5,70,"I",0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",230,"L",9.8,4.1,90,"I",0.2,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",231,"L",12.3,6.2,80,"C",0.6,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",232,"L",9.85,6.2,80,"C",1.4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",236,"L",8,6.1,60,"I",1,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_190","PreBurnYear1","8/28/2021 12:20:18 PM",238,"L",45.05,13.6,100,"C",0,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","new"
"_153","PreBurnYear1","10/14/2020 11:10:08 AM",174,"D",59.05,9,NA,"",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_153","PreBurnYear1","10/14/2020 11:10:08 AM",175,"D",40,3.5,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_153","PreBurnYear1","10/14/2020 11:10:08 AM",176,"D",52.6,7.8,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",151,"L",13.8,7.4,90,"I",1,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUCH-TOV",0,NA,NA,NA,"QUCH2","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",152,"L",26.2,10.2,90,"I",0.6,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUCH-TOV",0,NA,NA,NA,"QUCH2","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",153,"L",24.7,10.2,90,"I",1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUCH-TOV",0,NA,NA,NA,"QUCH2","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",154,"D",10.7,4.7,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",155,"L",20.8,NA,60,"C",NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUCH-TSE",0.3,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",156,"L",32.6,12.6,70,"C",5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TSE",2.3,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",157,"D",22.25,6.8,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",158,"L",26.7,9.4,70,"I",4.2,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE-TOV",1,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",159,"D",10,1.47,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",160,"L",58.6,9.6,60,"C",0,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOSU-SM",0,NA,NA,NA,"QUKE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
"_156","PreBurnYear1","10/14/2020 11:10:08 AM",161,"L",14.55,7.6,90,"I",1,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE-TOV",0.2,NA,NA,NA,"PIJE","controls","treat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control","old"
