MacroPlot Name, Date,Tag,Species ,Status,Top Kill    (Y/N),DBH,crown ratio,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_150,2022,838,QUKE,L,,49.8,90,,,,,,
_150,2022,840,QUKE,L,,14.4,100,,,,,,
_150,2022,842,QUKE,L,,11.75,100,,,,,,
_150,2022,843,QUKE,D,,,,,,,,,
_147,2022,,,,,,,,,,,,
_147,2022,863,QUKE,L,,8.2,100,,,,,,
_147,2022,864,QUKE,L,,8.65,100,,,,,,
_147,2022,868,QUKE,L,,19.05,100,,,,,,
_147,2022,869,PIJE,L,,35.45,100,,,,,,
_147,2022,870,QUKE,L,,11.5,70,,,,,,
_147,2022,871,PIJE,L,,57.6,100,,,,,,Tag fell off. 
_147,2022,873,QUKE,D,,36.95,,,,,,,
_151,2022,,,,,,,,,,,,
_151,2022,585,QUKE,L,,28.55,100,,,,,,
_151,2022,587,QUKE,L,,10.5,100,,,,,,
_151,2022,588,QUKE,L,,12,100,,,,,,
_151,2022,589,QUKE,L,,15.9,100,,,,,,
_151,2022,591,QUKE,L,,14.15,100,,,,,,
_151,2022,592,QUKE,L,,8.8,100,,,,,,
_151,2022,594,QUKE,L,,10.85,100,,,,,,
_151,2022,595,QUKE,L,,18,100,,,,,,
_146,2022,,,,,,,,,,,,
_146,2022,849,PIJE,L,,60.8,100,,,,,,
_146,2022,851,PIJE,D,,17.2,,,,,,,
_146,2022,854,QUKE,L,,53.4,70,,,,,,
_146,2022,855,QUKE,L,,50.5,90,,,,,,
_146,2022,866,QUKE,L,,52.75,100,,,,,,
_152,2022,,,,,,,,,,,,
_152,2022,203,PIJE,L,,54.75,90,,,,,,
_152,2022,204,PIJE,L,,20.75,90,,,,,,
_152,2022,205,PIJE,L,,64.95,100,,,,,,
_152,2022,206,PIJE,L,,64.55,100,,,,,,
_152,2022,207,PIJE,L,,49.25,100,,,,,,
_152,2022,208,PIJE,L,,50.5,100,,,,,,
_154,2022,,,,,,,,,,,,
_154,2022,101,PIJE,L,,9.4,100,,,,,,
_154,2022,102,PIJE,L,,41.5,80,,,,,,
_154,2022,103,PIJE,L,,47.15,100,,,,,,
_154,2022,104,PIJE,L,,26.45,90,,,,,,
_154,2022,105,PIJE,L,,9.5,100,,,,,,
_154,2022,106,QUKE,L,,91.4,80,,,,,,
_154,2022,107,PIJE,L,,49.8,70,,,,,,
_158,2022,,,,,,,,,,,,
_158,2022,109,PIJE,L,,52.4,90,,,,,,
_158,2022,110,QUKE,L,,119.7,40,,,,,,
_158,2022,113,PIJE,L,,8.2,70,,,,,,
_158,2022,114,PIJE,L,,49.9,90,,,,,,
_158,2022,116,PIJE,L,,36.5,20,,,,,,
_158,2022,117,PIJE,L,,25.6,10,,,,,,
_158,2022,118,QUKE,L,,66.1,90,,,,,,
_158,2022,119,QUKE,L,,75.8,90,,,,,,
_158,2022,120,PIJE,L,,15.1,90,,,,,,
_158,2022,121,PIJE,L,,12.85,90,,,,,,
_158,2022,123,QUKE,L,,22.4,100,,,,,,
_158,2022,124,QUKE,L,,9.2,100,,,,,,
_158,2022,127,QUKE,L,,26.65,100,,,,,,
_158,2022,131,PIJE,L,,42.5,90,,,,,,
_158,2022,133,PIJE,L,,10.35,10,,,,,,
_158,2022,134,PIJE,L,,63.6,90,,,,,,
_158,2022,135,PIJE,L,,43.2,90,,,,,,
_158,2022,138,PIJE,L,,13.15,70,,,,,,
_158,2022,139,PIJE,D,,13.6,,,,,,,
_158,2022,140,PIJE,L,,44,40,,,,,,
_157,2022,,,,,,,,,,,,
_157,2022,141,PIJE,L,,47.1,50,,,,,,
_157,2022,142,PIJE,L,,63.4,90,,,,,,
_157,2022,146,QUKE,L,,,5,,,,,,Now a sapling. 
_157,2022,147,PIJE,L,,53.35,90,,,,,,
_157,2022,148,PIJE,L,,61.8,100,,,,,,
_153,2022,,,,,,,,,,,,
_153,2022,174,QUKE,D,,58.9,,,,,,,
_153,2022,175,QUKE,D,,,,,,,,,Fallen. 
_153,2022,176,QUKE,D,,51.1,,,,,,,
_156,2022,,,,,,,,,,,,
_156,2022,151,QUCH2,L,,14.3,100,,,,,,
_156,2022,152,QUCH2,L,,26.8,100,,,,,,
_156,2022,153,QUCH2,L,,25.85,90,,,,,,
_156,2022,154,PIJE,D,,11.5,,,,,,,
_156,2022,155,PIJE,L,,21,30,,,,,,
_156,2022,156,PIJE,L,,32.6,80,,,,,,
_156,2022,157,PIJE,D,,,,,,,,,Gone. 
_156,2022,158,PIJE,L,,27.4,90,,,,,,
_156,2022,159,QUKE,D,,10.55,,,,,,,
_156,2022,160,QUKE,L,,59.4,90,,,,,,
_156,2022,161,PIJE,L,,15.45,90,,,,,,
_156,2022,162,PIJE,L,,20.8,90,,,,,,
_156,2022,163,PIJE,L,,31.6,90,,,,,,
_156,2022,165,PIJE,L,,14.45,90,,,,,,
_156,2022,166,QUKE,L,,47.15,90,,,,,,
_156,2022,167,QUKE,D,,30,,,,,,,
_156,2022,168,QUKE,L,,35.4,90,,,,,,
_156,2022,169,QUKE,L,,55.5,90,,,,,,
_156,2022,170,QUKE,L,,47.5,90,,,,,,
_156,2022,171,QUKE,L,,32.5,90,,,,,,
_156,2022,964,PIJE,L,,14.1,80,,,,,,
