Plot #,Tag #,Species ,Status,DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_148,,,,,,,,,,,,,,,,,,
_148,874,QUKE,D,47.94,11.2,,,,,1,,,,,,,,
_148,875,QUKE,L,54.65,10.5,30,I,3.5,3.5,,0.9,,,,0,ROCA_SL,,
_148,877,QUKE,L,51.5,14.2,60,C,0.3,2.5,,0,,,,0,ROCA_SL,,
_148,878,PIJE,L,36.05,14.5,80,C,6.2,3.5,,1.5,,,,0.7,ROCA_SL,,
_148,879,QUKE,L,7.8,5.5,100,S,1.45,1.5,,0,,,,0.3,ROCA_SL,,
_148,882,QUKE,L,53,12,50,C,1.4,2.75,,0.2,,,,0.2,QUKE_TSE,,
_148,883,QUKE,L,66.65,11.8,70,C,3.2,4,,0,,,,0,ROCA_SL,,
_148,884,PIJE,L,18.9,7.4,60,S,4,2,,1.5,,,,0.7,QUKE_TSE,,
_148,885,PIJE,L,36.1,15.9,70,C,5.5,3,,1.39,,,,0.1,ERCO_SL,,
_149,,,,,,,,,,,,,,,,,,
_149,801,PIJE,L,37.9,14,90,C,8.6,3.5,,2.1,,,,0,ROCA_SL,,
_149,802,PIJE,L,22.1,9.4,80,I,8.4,1.5,,2,,,,0,ROCA_SL,,
_149,803,QUKE,L,38.7,10.2,60,I,2.6,1.5,,0,,,,0.3,ROCA_SL,,
_149,804,QUKE,L,35.05,11.4,70,I,3,2.5,,0,,,,0.5,ERCO_SL,,
_149,805,QUKE,L,29.75,10.2,70,I,4,2,,0,,,,0.5,ERCO_SL,,
_149,806,PIJE,L,26,12.4,90,I,4.8,1.5,,0.7,,,,0,ERCO_SL,,
_149,807,PIJE,L,14.3,7.4,60,S,6.2,0.75,,0.35,,,,0,ERCO_SL,,
_149,808,QUKE,L,51.85,10,90,I,2,3.25,,0,,,,0.3,SYMO_SL,,
_149,809,PIJE,L,10.3,5.5,50,I,3.8,0.6,,0.5,,,,0.3,ERCO_SL,,
_149,810,PIJE,L,28.55,11.6,60,I,5,1.5,,2.1,,,,0.1,ROCA_SL,,
_149,811,PIJE,L,14.95,7.8,60,S,4.2,1,,0.7,,,,0,ERWR_SL,,
_149,813,PIJE,L,22.45,8.9,60,I,4.2,2,,3.2,,,,0.4,CEPA_ST,,
_149,814,PIJE,L,22,9.4,80,I,5,1.5,,0.8,,,,1,ROCA_SL,,
_149,815,PIJE,L,7.8,4.2,20,S,3.8,0.35,,0.5,,,,0,SYMO_SL,,
_149,816,PIJE,L,23.8,10.6,70,C,5.2,1.75,,0.3,,,,0.1,ROCA_SL,,
_149,818,PIJE,L,12.8,29.6,80,C,7.6,1.75,,0.5,,,,0,ROCA_SL,,
_149,819,PIJE,L,23.8,7.6,80,I,4,1.25,,2.5,,,,0.05,ROCA_SL,,
_149,820,PIJE,L,26.85,12.2,70,I,4.4,1.5,,1.2,,,,0.1,ROCA_SL,,
_149,821,PIJE,L,40.85,14.6,90,C,5,2.5,,1,,,,0.5,ERCO_SL,,
_149,822,PIJE,L,67.7,21.2,100,C,7.4,5,,0,,,,0.2,QUKE_TSE,,
_149,823,QUKE,D,35.6,8.4,,,,,1,,,,,,,,
_150,,,,,,,,,,,,,,,,,,
_150,837,QUKE,L,66.6,16.6,70,D,1,4,,0,,,,0,ERCO_SL,,
_150,838,QUKE,L,48,11.4,90,D,1.4,4,,0,,,,0,ERCO_SL,,
_150,840,QUKE,L,12.5,6.5,90,I,0.5,1,,0,,,,0.8,QUKE_TSA,,
_150,842,QUKE,L,10,6,90,O,0.3,0.75,,0,,,,0.3,ERWR_SL,,
_150,843,QUKE,D,64.45,17.4,90,,,,1,2.5,,,,,,,
_151,,,,,,,,,,,,,,,,,,
_151,585,QUKE,L,27,11.5,100,C,0.4,2.75,,0,,,,0.4,PIJE_TSA,,
_151,587,QUKE,L,9.89,7.5,100,I,1.3,1.25,,0.3,,,,0.5,ROCA_SL,,
_151,588,QUKE,L,10.9,8,100,I,0.2,1.6,,0.3,,,,0.5,ROCA_SL,,
_151,589,QUKE,L,14.2,8.1,90,C,2,1.75,,0,,,,0.1,ROCA_SL,,
_151,591,QUKE,L,12.98,8.2,100,C,1,1.5,,0.6,,,,0.5,ROCA_SL,,
_151,592,QUKE,L,7.85,5.9,100,I,1,0.75,,0,,,,0,ROCA_SL,,
_151,594,QUKE,L,9.75,4.5,100,I,0.7,1.2,,0,,,,0,ROCA_SM,,
