MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_181,PostBurnYear1,2022,101,QUKE,L,N,11.25,6.2,90,I,1.6,1,,0,,,,Y,N,,,,
_181,PostBurnYear1,2022,103,QUKE,L,N,15.8,6.4,100,I,2.5,1,,0,,,,Y,Y,46,30,7,same resprout as tag# 104
_181,PostBurnYear1,2022,104,QUKE,L,N,12,6,100,I,2.5,1.25,,0,,,,N,Y,46,30,7,same resprout as tag# 103
_181,PostBurnYear1,2022,105,QUKE,L,N,9.35,5.2,100,I,3,1.75,,0,,,,N,N,,,,
_181,PostBurnYear1,2022,106,QUKE,L,N,10.8,7.1,100,I,4,1.5,,0,,,,N,Y,36.5,31,5,
_181,PostBurnYear1,2022,107,QUKE,L,N,13.25,7.2,100,I,3.5,1,,0,,,,N,N,,,,
_181,PostBurnYear1,2022,108,QUKE,L,N,9.8,7,100,I,2,1.25,,0,,,,N,N,,,,
_181,PostBurnYear1,2022,109,PIJE,L,N,23.15,9.9,70,C,2.4,1.25,,0.62,4.5,30,,N,N,,,,
_181,PostBurnYear1,2022,110,QUKE,L,N,16.1,6.9,100,I,2.1,1.75,,0,,,,N,N,,,,
_181,PostBurnYear1,2022,111,QUKE,L,N,44.3,12.9,100,C,0.4,4,,0.54,,,,N,N,,,,
_181,PostBurnYear1,2022,112,QUKE,L,N,55.4,13,100,C,1.6,3,,0.5,,,,N,N,,,,
_181,PostBurnYear1,2022,113,QUKE,L,N,50.55,7.6,100,I,1.8,2.75,,0,,,,N,N,,,,
_181,PostBurnYear1,2022,114,PIJE,L,N,15.1,5.2,90,S,0.1,1.25,,0.55,1.2,5,,N,N,,,,
_181,PostBurnYear1,2022,115,QUKE,L,N,45.2,12.2,80,C,4,3.75,,1.3,,,,Y,Y,44,19,1,
_195,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_195,PostBurnYear1,2022,131,QUKE,L,N,9.8,6.3,100,I,1.7,1.3,,0,,,,Y,Y,50,55,6,same resprout as tag# 132
_195,PostBurnYear1,2022,132,QUKE,L,N,11.35,6.3,100,I,2,0.8,,0,,,,Y,Y,50,55,6,same resprout as tag# 131
_195,PostBurnYear1,2022,133,QUKE,L,N,10.75,7.1,90,I,3.2,1.8,,0,,,,Y,Y,47,40,4,
_195,PostBurnYear1,2022,134,QUKE,L,N,14.9,8.4,100,C,2.2,2.5,,0,,,,N,N,,,,
_195,PostBurnYear1,2022,135,QUKE,L,N,11.6,7.3,100,I,1.6,2,,0,,,,Y,Y,38,20,5,
_195,PostBurnYear1,2022,136,QUKE,L,N,9.35,7.5,100,I,3.5,1.5,,0.3,,,,N,N,,,,
_195,PostBurnYear1,2022,137,QUKE,L,N,11.4,6.5,90,I,2.5,2,,0,,,,N,N,,,,
_195,PostBurnYear1,2022,138,QUKE,L,N,10.45,6.5,90,C,2.9,2,,0.36,,,,Y,Y,61,,10,
_195,PostBurnYear1,2022,140,QUKE,L,N,9.7,6,100,S,3,2.25,,0,,,,N,Y,109,105,20,"140,141,142,143 same resprout"
_195,PostBurnYear1,2022,141,QUKE,L,N,15.2,6.5,100,C,2,2.5,,0,,,,N,Y,109,105,20,"140,141,142,143 same resprout"
_195,PostBurnYear1,2022,142,QUKE,L,N,13.3,6.5,100,C,1.8,2,,0,,,,N,Y,109,105,20,"140,141,142,143 same resprout"
_195,PostBurnYear1,2022,143,QUKE,L,N,11.4,6.5,100,C,1.5,1.5,,0,,,,N,Y,109,105,20,"140,141,142,143 same resprout"
_195,PostBurnYear1,2022,144,QUKE,L,N,8.35,4.5,90,I,1.4,2,,0,,,,N,N,,,,
_195,PostBurnYear1,2022,145,QUKE,D,Y,44.5,1.4,,,,,2,1.4,,,,N,Y,85,120,28,"145,147,148 same resprout"
_195,PostBurnYear1,2022,146,QUKE,L,N,9.6,6.6,90,C,2.1,2,,0,,,,Y,Y,85,120,28,"145,147,148 same resprout"
_195,PostBurnYear1,2022,147,QUKE,L,N,9.6,6.6,90,C,4,1.3,,0,,,,Y,Y,85,120,28,"145,147,148 same resprout"
_195,PostBurnYear1,2022,149,QUKE,L,N,9.8,6.9,100,C,1,2,,0,,,,N,Y,54,30,3,"149,150,151 same resprout"
_195,PostBurnYear1,2022,150,QUKE,L,N,9.65,6.4,100,C,0.8,2.5,,0,,,,N,Y,54,30,3,"149,150,151 same resprout"
_195,PostBurnYear1,2022,151,QUKE,L,N,8.35,6.3,100,C,1.8,1.75,,0,,,,N,Y,54,30,3,"149,150,151 same resprout"
_195,PostBurnYear1,2022,153,PIJE,L,N,29.4,10.7,80,C,2.9,1.75,,2.5,10,20,,N,N,,,,
