MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,crown ratio,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_153,PostBurnYear2,2022,176,QUKE,D,N,51.1,,N,N,,,,
_154,PostBurnYear2,2022,,,,,,,,,,,,
_154,PostBurnYear2,2022,101,PIJE,L,N,9.4,100,N,N,,,,
_154,PostBurnYear2,2022,102,PIJE,L,N,41.5,80,N,N,,,,
_154,PostBurnYear2,2022,103,PIJE,L,N,47.15,100,N,N,,,,
_154,PostBurnYear2,2022,104,PIJE,L,N,26.45,90,N,N,,,,
_154,PostBurnYear2,2022,105,PIJE,L,N,9.5,100,N,N,,,,
_154,PostBurnYear2,2022,106,QUKE,L,N,91.4,80,N,N,,,,
_154,PostBurnYear2,2022,107,PIJE,L,N,49.8,70,N,N,,,,
_156,PostBurnYear2,2022,,,,,,,,,,,,
_156,PostBurnYear2,2022,151,QUCH2,L,N,14.3,100,N,N,,,,
_156,PostBurnYear2,2022,152,QUCH2,L,N,26.8,100,N,N,,,,
_156,PostBurnYear2,2022,153,QUCH2,L,N,25.85,90,N,N,,,,
_156,PostBurnYear2,2022,154,PIJE,D,N,11.5,,N,N,,,,
_156,PostBurnYear2,2022,155,PIJE,L,N,21,30,N,N,,,,
_156,PostBurnYear2,2022,156,PIJE,L,N,32.6,80,N,N,,,,
_156,PostBurnYear2,2022,157,PIJE,D,N,,,N,N,,,,Gone. 
_156,PostBurnYear2,2022,158,PIJE,L,N,27.4,90,N,N,,,,
_156,PostBurnYear2,2022,159,QUKE,D,N,10.55,,N,N,,,,
_156,PostBurnYear2,2022,160,QUKE,L,N,59.4,90,N,N,,,,
_156,PostBurnYear2,2022,161,PIJE,L,N,15.45,90,N,N,,,,
_156,PostBurnYear2,2022,162,PIJE,L,N,20.8,90,N,N,,,,
_156,PostBurnYear2,2022,163,PIJE,L,N,31.6,90,N,N,,,,
_156,PostBurnYear2,2022,165,PIJE,L,N,14.45,90,N,N,,,,
_156,PostBurnYear2,2022,166,QUKE,L,N,47.15,90,N,N,,,,
_156,PostBurnYear2,2022,167,QUKE,D,N,30,,N,N,,,,
_156,PostBurnYear2,2022,168,QUKE,L,N,35.4,90,N,N,,,,
