"MacroPlot.Name","Monitoring.Status","Date","Index","IsVerified","QTR","SubFrac","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","UV3","MacroPlotSize","SnagPlotSize","BrkPntDia","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","Species.Symbol","Visited"
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True"
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483648,"False",NA,1,637,"L",30.7,16.2,70,"C",7.8,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,9.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483647,"False",NA,1,638,"L",51.6,22,80,"C",12.2,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483646,"False",NA,1,648,"L",45.55,15.4,60,"I",10,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,11.4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483645,"False",NA,1,640,"L",46.1,20.8,80,"C",13,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,11.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483644,"False",NA,1,641,"L",56.4,25,100,"C",14.4,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,7.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483643,"False",NA,1,642,"D",79,14.2,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483642,"False",NA,1,643,"L",23.5,11.6,80,"I",7.5,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,7.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483641,"False",NA,1,644,"L",22.45,7.6,10,"I",2.4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,7.4,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483640,"False",NA,1,645,"L",27.9,8.2,70,"I",2.4,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,4.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483639,"False",NA,1,646,"L",29.85,12.8,80,"I",4,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,4.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483638,"False",NA,1,647,"L",33.1,12.3,80,"I",3.4,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_130","PostBurnYear1","8/30/2021 2:20:17 PM",-2147483637,"False",NA,1,649,"L",45.75,20.2,100,"C",9,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True"
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483648,"False",NA,1,652,"L",63.9,22.8,70,"C",13.8,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483647,"False",NA,1,653,"L",53.35,22.6,80,"C",13.8,NA,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13.8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483646,"False",NA,1,655,"L",39.4,21.6,70,"C",14.2,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483645,"False",NA,1,657,"L",63.1,21,70,"C",15.4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,15.4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483644,"False",NA,1,663,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tree is gone",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483643,"False",NA,1,664,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tree is gone",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483642,"False",NA,1,668,"L",43.7,18.6,80,"C",11.3,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_128","PostBurnYear1","8/30/2021 2:19:24 PM",-2147483641,"False",NA,1,670,"D",10.75,6.2,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True"
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",-2147483648,"False",NA,1,674,"D",36.5,14,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",-2147483647,"False",NA,1,675,"D",42.3,15,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",-2147483646,"False",NA,1,676,"D",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fallen; cut-down.",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",-2147483645,"False",NA,1,677,"L",37.3,14.2,5,"I",10.4,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,10.2,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New tag 965",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",-2147483644,"False",NA,1,678,"D",19.8,8.8,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New tag 966",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",-2147483643,"False",NA,1,679,"L",61,23,10,"C",18,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,21.2,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New tag967",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE",""
"_131","PostBurnYear1","8/30/2021 2:20:41 PM",-2147483642,"False",NA,1,680,"L",41.3,12,5,"I",10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,10,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE",""
