,MacroPlot.Name,Monitoring.Status,Date,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,SnagPlotSize,BrkPntDia,Species.Symbol,X,Year,Treatment,Visited,treatment_burn,experiment
29,_130,PreBurnYear1,8/19/20 17:07,644,L,22.8,8,90,I,0.4,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TOV,0.8,1.3,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
30,_130,PreBurnYear1,8/19/20 17:07,645,L,29.5,9.5,90,I,1.5,NA,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TOV,0.8,1.5,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
31,_130,PreBurnYear1,8/19/20 17:07,646,L,29.6,14.5,90,C,2,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TOV,0,1.5,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
32,_130,PreBurnYear1,8/19/20 17:07,647,L,15,33,90,I,2,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TOV,0,0.8,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
33,_130,PreBurnYear1,8/19/20 17:07,649,L,45.4,20.6,80,C,6.8,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TSE,1.9,3.1,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
34,_128,PreBurnYear1,8/19/20 17:07,652,L,64.3,22.6,90,C,11.6,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CEBE_ST,1,2.3,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
35,_128,PreBurnYear1,8/19/20 17:07,653,L,53.4,22.4,80,C,10.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TSA,0.1,4,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
36,_128,PreBurnYear1,8/19/20 17:07,655,L,39.9,21.6,70,C,13.6,NA,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TSA,0.5,4.5,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
37,_128,PreBurnYear1,8/19/20 17:07,657,L,63.7,20.8,90,C,10.6,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0.4,0,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
38,_128,PreBurnYear1,8/19/20 17:07,663,D,41.7,1.8,NA,,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SM,0.1,1.3,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
39,_128,PreBurnYear1,8/19/20 17:07,664,D,51.1,3.7,NA,,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SL,0,1,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
40,_128,PreBurnYear1,8/19/20 17:07,668,L,43.8,18.2,90,C,6.4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SYMO_SL,0,1,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
41,_128,PreBurnYear1,8/19/20 17:07,670,L,12.1,6.2,70,S,1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_TSA,0,0.1,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
42,_131,PreBurnYear1,8/19/20 17:07,674,L,36.8,11.4,90,C,0,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QUKE_DTOV,0,2,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
43,_131,PreBurnYear1,8/19/20 17:07,675,D,49.6,12.2,NA,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
44,_131,PreBurnYear1,8/19/20 17:07,676,D,48.1,15.8,NA,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
45,_131,PreBurnYear1,8/19/20 17:07,677,L,37.4,12.8,90,C,5,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERWR_SL,0.1,1.8,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
46,_131,PreBurnYear1,8/19/20 17:07,678,L,21.3,9.4,40,I,1.5,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ROCA_SL,2,0,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
47,_131,PreBurnYear1,8/19/20 17:07,679,L,63.3,22.4,80,D,6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ERWR_SL,0.3,0,NA,NA,PIJE,NA,yr1,treat1,NA,post_budbreak,old
48,_131,PreBurnYear1,8/19/20 17:07,680,L,41.7,11.4,90,C,8.5,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PIJE_TOV,2,0,NA,NA,QUKE,NA,yr1,treat1,NA,post_budbreak,old
49,_132,PostBurnYear1,8/30/21 14:21,626,D,16.95,8,NA,,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2.2,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
50,_132,PostBurnYear1,8/30/21 14:21,628,L,71.6,26.8,20,C,20.5,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,20.5,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
51,_132,PostBurnYear1,8/30/21 14:21,630,L,70.2,33.4,20,C,24.5,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,24.4,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New tag 968,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
52,_129,PostBurnYear1,8/30/21 14:19,605,L,55.05,26,90,C,7.6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,pre_budbreak,old
53,_129,PostBurnYear1,8/30/21 14:19,606,L,16.75,6.8,100,I,10,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,pre_budbreak,old
54,_129,PostBurnYear1,8/30/21 14:19,608,L,47.7,24,100,C,15.8,NA,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,pre_budbreak,old
55,_129,PostBurnYear1,8/30/21 14:19,609,L,52.75,28,100,C,11,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,pre_budbreak,old
56,_129,PostBurnYear1,8/30/21 14:19,612,L,67.6,28.4,90,C,16,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,pre_budbreak,old
57,_129,PostBurnYear1,8/30/21 14:19,617,L,56.9,26,100,C,15,NA,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,pre_budbreak,old
58,_133,PostBurnYear1,8/30/21 14:21,687,L,84.55,16.2,20,C,9.2,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
59,_133,PostBurnYear1,8/30/21 14:21,688,L,75.65,25,100,C,13,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
60,_130,PostBurnYear1,8/30/21 14:20,637,L,30.7,16.2,70,C,7.8,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,9.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
61,_130,PostBurnYear1,8/30/21 14:20,638,L,51.6,22,80,C,12.2,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
62,_130,PostBurnYear1,8/30/21 14:20,648,L,45.55,15.4,60,I,10,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,11.4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
63,_130,PostBurnYear1,8/30/21 14:20,640,L,46.1,20.8,80,C,13,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,11.4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
64,_130,PostBurnYear1,8/30/21 14:20,641,L,56.4,25,100,C,14.4,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,7.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
65,_130,PostBurnYear1,8/30/21 14:20,642,D,79,14.2,NA,,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
66,_130,PostBurnYear1,8/30/21 14:20,643,L,23.5,11.6,80,I,7.5,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,7.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
67,_130,PostBurnYear1,8/30/21 14:20,649,L,45.75,20.2,100,C,9,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
68,_128,PostBurnYear1,8/30/21 14:19,652,L,63.9,22.8,70,C,13.8,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13.8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,PIJE,NA,yr2,treat1,NA,post_budbreak,old
