,x1,macro_plot_name,monitoring_status,date_x,tag_no,status_x,dbh_x,ht,crwn_rto,crwn_cl,li_cr_b_ht,crwn_rad,decay_cl,char_ht,scorch_ht,cr_sc_pct,comment_x,uv1,uv2,species_symbol,year,treatment,treatment_burn,experiment,date_y,species,status_y,top_kill_y_n,dbh_y,crown_ratio,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,resprout_count,comment_y,experiment_resprout
237,237,_129,PreBurn,8/19/2020 17:07,623,D,79.5,8.4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,QUKE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,238,_129,PreBurn,8/19/2020 17:07,624,D,71,8.9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,QUKE,yr1,treat1,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,710,_137,PreBurn,8/19/2020 8:44,701,D,65.7,23,NA,NA,NA,NA,1,NA,NA,NA,x_TOV,4.2,1,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,711,_137,PreBurn,8/19/2020 8:44,702,D,46.1,17.5,NA,NA,NA,NA,1,NA,NA,NA,x_TOV_DTOV,3.1,0.8,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,712,_137,PreBurn,8/19/2020 8:44,703,L,41.9,17.5,90,C,3.5,3.2,NA,2,NA,NA,x_DTOV,1.5,3,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
713,713,_137,PreBurn,8/19/2020 8:44,704,D,57.2,20,NA,NA,NA,NA,1,NA,NA,NA,x_TOV,1.5,3,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,714,_137,PreBurn,8/19/2020 8:44,705,L,64.2,21,100,C,8.6,2.9,NA,2.1,NA,NA,x_SM,3,3,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,715,_137,PreBurn,8/19/2020 8:44,707,L,47.3,11,70,I,0.8,2.25,NA,0,NA,NA,x_TOV,0.8,3.3,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,716,_137,PreBurn,8/19/2020 8:44,708,L,43.1,9,100,I,0.1,3.25,NA,0,NA,NA,x_TOV,0.8,3,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717,717,_134,PreBurn,8/19/2020 8:44,740,L,37.3,18.4,90,C,8.2,5,NA,0,NA,NA,QUKE_TSE,1,0,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718,718,_134,PreBurn,8/19/2020 8:44,741,D,37.9,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,719,_134,PreBurn,8/19/2020 8:44,743,L,39.8,14.5,100,C,1.4,6,NA,0,NA,NA,QUKE_TSA,0.75,2.2,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
720,720,_134,PreBurn,8/19/2020 8:44,744,L,37.8,14,90,C,0.4,3.38,NA,0,NA,NA,QUKE_TSE,0.2,0,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,721,_134,PreBurn,8/19/2020 8:44,745,L,16.2,5,70,I,1.5,2.3,NA,0.1,NA,NA,ROCA_SL,0.1,0.5,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,722,_134,PreBurn,8/19/2020 8:44,747,L,42.3,24.2,70,C,12.6,1.5,NA,0.3,NA,NA,ROCA_SM,0.1,0.1,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,723,_134,PreBurn,8/19/2020 8:44,754,L,59.8,30.4,90,C,16.6,7.6,NA,3.2,NA,NA,QUKE_TSE,3,0,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,724,_134,PreBurn,8/19/2020 8:44,755,L,47.3,22.8,90,C,15.2,6,NA,3,NA,NA,QUKE_TSE,1.2,0,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
725,725,_134,PreBurn,8/19/2020 8:44,756,L,56.35,24.8,70,C,15,8.5,NA,1.5,NA,NA,QUKE_TSE,3.1,2.8,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,726,_134,PreBurn,8/19/2020 8:44,757,L,59.8,21,80,C,8.5,6,NA,1,NA,NA,QUKE_TSE,1.6,5,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,727,_135,PreBurn,8/19/2020 8:44,725,L,89.4,18.15,80,I,2,5,NA,0,NA,NA,x_SM,0,2.46,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,728,_135,PreBurn,8/19/2020 8:44,726,L,80.5,32.2,90,C,18.4,4.75,NA,4,NA,NA,SYMO_SL,0,2.2,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,729,_135,PreBurn,8/19/2020 8:44,730,L,62.2,30.7,90,C,18.5,4.88,NA,1.65,NA,NA,ROCA_SM,0,0.85,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
730,730,_135,PreBurn,8/19/2020 8:44,731,L,24.55,11.5,90,I,1,2.75,NA,0,NA,NA,PRVI_SM,0.4,0.4,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,731,_135,PreBurn,8/19/2020 8:44,732,D,10.8,1.75,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,732,_135,PreBurn,8/19/2020 8:44,733,D,11.9,2.2,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
733,733,_138,PreBurn,8/19/2020 8:44,781,D,36.5,3.6,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,734,_138,PreBurn,8/19/2020 8:44,782,L,24.2,7.6,90,I,1.3,1.45,NA,0,NA,NA,QUKE_TSE,3,0.3,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
735,735,_138,PreBurn,8/19/2020 8:44,784,L,145.5,20.4,70,D,0.7,7,NA,0,NA,NA,PIJE_TSE,2.5,0.8,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,736,_138,PreBurn,8/19/2020 8:44,785,L,24.9,6.8,90,I,0.5,1,NA,0,NA,NA,PIJE_TSE,1,0,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
737,737,_138,PreBurn,8/19/2020 8:44,786,L,25.6,7.6,90,C,1.8,1.5,NA,0,NA,NA,ROCA_SM,1.2,2.1,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
738,738,_138,PreBurn,8/19/2020 8:44,787,L,26.6,8.6,100,C,2.2,1.45,NA,0,NA,NA,PIJE_TSE,0.2,0.8,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
739,739,_138,PreBurn,8/19/2020 8:44,788,L,25.5,8.6,100,C,1.3,1.25,NA,0,NA,NA,CEBE_SM,1,0.5,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
740,740,_139,PreBurn,8/19/2020 8:44,771,L,59.8,25.8,90,C,13,3,NA,0.6,NA,NA,ROCA_SM,0,6,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
741,741,_139,PreBurn,8/19/2020 8:44,772,L,78.5,25.8,90,C,16,3.5,NA,0.4,NA,NA,PRVI_ST,0,3.5,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
742,742,_139,PreBurn,8/19/2020 8:44,773,D,54.1,2.1,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
743,743,_139,PreBurn,8/19/2020 8:44,776,L,12.35,8.9,100,I,0.1,1.35,NA,0,NA,NA,ROCA_SM,0.4,4,QUKE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
744,744,_139,PreBurn,8/19/2020 8:44,777,L,47.9,19.6,100,C,7.8,2.5,NA,2,NA,NA,ERWR_SM,1,0.5,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745,745,_139,PreBurn,8/19/2020 8:44,778,L,40.6,20,90,C,13.2,3,NA,1.5,NA,NA,ERWR_SL,0.8,0.4,PIJE,yr1,treat2,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
972,972,_148,PreBurn,9/17/2020 9:00,874,D,47.94,11.2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
973,973,_148,PreBurn,9/17/2020 9:00,875,L,54.65,10.5,30,I,3.5,3.5,NA,0.9,NA,NA,ROCA_SL,0,1.8,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
974,974,_148,PreBurn,9/17/2020 9:00,877,L,51.5,14.2,60,C,0.3,2.5,NA,0,NA,NA,ROCA_SL,0,2.5,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
975,975,_148,PreBurn,9/17/2020 9:00,878,L,36.05,14.5,80,C,6.2,3.5,NA,1.5,NA,NA,ROCA_SL,0.7,4.2,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
976,976,_148,PreBurn,9/17/2020 9:00,879,L,7.8,5.5,100,S,1.45,1.5,NA,0,NA,NA,ROCA_SL,0.3,3.8,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
977,977,_148,PreBurn,9/17/2020 9:00,882,L,53,12,50,C,1.4,2.75,NA,0.2,NA,NA,QUKE_TSE,0.2,0.2,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
978,978,_148,PreBurn,9/17/2020 9:00,883,L,66.65,11.8,70,C,3.2,4,NA,0,NA,NA,ROCA_SL,0,0.4,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,979,_148,PreBurn,9/17/2020 9:00,884,L,18.9,7.4,60,S,4,2,NA,1.5,NA,NA,QUKE_TSE,0.7,2.5,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
980,980,_148,PreBurn,9/17/2020 9:00,885,L,36.1,15.9,70,C,5.5,3,NA,1.39,NA,NA,ERCO_SL,0.1,0.4,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
981,981,_149,PreBurn,9/17/2020 9:00,801,L,37.9,14,90,C,8.6,3.5,NA,2.1,NA,NA,ROCA_SL,0,4.2,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
982,982,_149,PreBurn,9/17/2020 9:00,802,L,22.1,9.4,80,I,8.4,1.5,NA,2,NA,NA,ROCA_SL,0,2.1,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
983,983,_149,PreBurn,9/17/2020 9:00,803,L,38.7,10.2,60,I,2.6,1.5,NA,0,NA,NA,ROCA_SL,0.3,1,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
984,984,_149,PreBurn,9/17/2020 9:00,804,L,35.05,11.4,70,I,3,2.5,NA,0,NA,NA,ERCO_SL,0.5,1,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
985,985,_149,PreBurn,9/17/2020 9:00,805,L,29.75,10.2,70,I,4,2,NA,0,NA,NA,ERCO_SL,0.5,1.5,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986,986,_149,PreBurn,9/17/2020 9:00,806,L,26,12.4,90,I,4.8,1.5,NA,0.7,NA,NA,ERCO_SL,0,2.5,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
987,987,_149,PreBurn,9/17/2020 9:00,807,L,14.3,7.4,60,S,6.2,0.75,NA,0.35,NA,NA,ERCO_SL,0,1,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,988,_149,PreBurn,9/17/2020 9:00,808,L,51.85,10,90,I,2,3.25,NA,0,NA,NA,SYMO_SL,0.3,0,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,989,_149,PreBurn,9/17/2020 9:00,809,L,10.3,5.5,50,I,3.8,0.6,NA,0.5,NA,NA,ERCO_SL,0.3,0.8,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
990,990,_149,PreBurn,9/17/2020 9:00,810,L,28.55,11.6,60,I,5,1.5,NA,2.1,NA,NA,ROCA_SL,0.1,3,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
991,991,_149,PreBurn,9/17/2020 9:00,811,L,14.95,7.8,60,S,4.2,1,NA,0.7,NA,NA,ERWR_SL,0,0.5,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
992,992,_149,PreBurn,9/17/2020 9:00,813,L,22.45,8.9,60,I,4.2,2,NA,3.2,NA,NA,CEPA_ST,0.4,5,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993,993,_149,PreBurn,9/17/2020 9:00,814,L,22,9.4,80,I,5,1.5,NA,0.8,NA,NA,ROCA_SL,1,1.2,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
994,994,_149,PreBurn,9/17/2020 9:00,815,L,7.8,4.2,20,S,3.8,0.35,NA,0.5,NA,NA,SYMO_SL,0,0.4,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
995,995,_149,PreBurn,9/17/2020 9:00,816,L,23.8,10.6,70,C,5.2,1.75,NA,0.3,NA,NA,ROCA_SL,0.1,1,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
996,996,_149,PreBurn,9/17/2020 9:00,818,L,12.8,29.6,80,C,7.6,1.75,NA,0.5,NA,NA,ROCA_SL,0,0.8,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,997,_149,PreBurn,9/17/2020 9:00,819,L,23.8,7.6,80,I,4,1.25,NA,2.5,NA,NA,ROCA_SL,0.05,4,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998,998,_149,PreBurn,9/17/2020 9:00,820,L,26.85,12.2,70,I,4.4,1.5,NA,1.2,NA,NA,ROCA_SL,0.1,4.2,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
999,999,_149,PreBurn,9/17/2020 9:00,821,L,40.85,14.6,90,C,5,2.5,NA,1,NA,NA,ERCO_SL,0.5,0.7,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,1000,_149,PreBurn,9/17/2020 9:00,822,L,67.7,21.2,100,C,7.4,5,NA,0,NA,NA,QUKE_TSE,0.2,2,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,1001,_149,PreBurn,9/17/2020 9:00,823,D,35.6,8.4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1007,1007,_147,PreBurn,9/17/2020 9:00,863,L,7.65,6,100,I,1.2,1.25,NA,0,NA,NA,ERCO_SL,0.3,5,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1008,1008,_147,PreBurn,9/17/2020 9:00,864,L,7.95,6.1,100,I,1.1,1.5,NA,0,NA,NA,ERCO_SL,0.3,5,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1009,1009,_147,PreBurn,9/17/2020 9:00,868,L,18.1,8.4,100,I,1,1.75,NA,0,NA,NA,ERCO_SL,0.5,0.7,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1010,1010,_147,PreBurn,9/17/2020 9:00,869,L,34.89,12.6,80,I,2.1,2,NA,1.7,NA,NA,QUKE_TOV,0.7,0.4,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1011,1011,_147,PreBurn,9/17/2020 9:00,870,L,12.3,6.2,90,S,1.2,1.25,NA,0.1,NA,NA,PIJE_TOV,0.7,5,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1012,1012,_147,PreBurn,9/17/2020 9:00,871,L,57.1,20.4,100,C,9.6,2.9,NA,0,NA,NA,ROCA_SL,0.4,0.8,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1013,1013,_147,PreBurn,9/17/2020 9:00,873,L,37.3,10,30,C,1,3,NA,0,NA,NA,ROCA_SL,1,0.1,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1014,1014,_151,PreBurn,9/17/2020 9:00,585,L,27,11.5,100,C,0.4,2.75,NA,0,NA,NA,PIJE_TSA,0.4,1.3,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,1015,_151,PreBurn,9/17/2020 9:00,587,L,9.89,7.5,100,I,1.3,1.25,NA,0.3,NA,NA,ROCA_SL,0.5,1,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,1016,_151,PreBurn,9/17/2020 9:00,588,L,10.9,8,100,I,0.2,1.6,NA,0.3,NA,NA,ROCA_SL,0.5,1,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1017,1017,_151,PreBurn,9/17/2020 9:00,589,L,14.2,8.1,90,C,2,1.75,NA,0,NA,NA,ROCA_SL,0.1,0.5,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1018,1018,_151,PreBurn,9/17/2020 9:00,591,L,12.98,8.2,100,C,1,1.5,NA,0.6,NA,NA,ROCA_SL,0.5,2.2,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1019,1019,_151,PreBurn,9/17/2020 9:00,592,L,7.85,5.9,100,I,1,0.75,NA,0,NA,NA,ROCA_SL,0,0.6,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1020,1020,_151,PreBurn,9/17/2020 9:00,594,L,9.75,4.5,100,I,0.7,1.2,NA,0,NA,NA,ROCA_SM,0,3,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,1021,_151,PreBurn,9/17/2020 9:00,595,L,15.7,8.3,100,O,0.3,1.75,NA,0.05,NA,NA,PRVI_ST,0,4.3,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,1022,_146,PreBurn,9/17/2020 9:00,849,L,60,20,100,C,7.2,2.75,NA,0.5,NA,NA,PIJE_TOV,0.2,7,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1023,1023,_146,PreBurn,9/17/2020 9:00,851,D,17.5,6.5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,PIJE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1024,1024,_146,PreBurn,9/17/2020 9:00,854,L,54.9,11.2,80,C,1.4,3.1,NA,0,NA,NA,PIJE_TSA,2,2,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1025,1025,_146,PreBurn,9/17/2020 9:00,855,L,50.9,10.2,90,C,1,2.75,NA,0,NA,NA,PIJE_TSA,2,2,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1026,1026,_146,PreBurn,9/17/2020 9:00,866,L,51.8,11.4,100,C,1,5.1,NA,0.2,NA,NA,ERCO_SL,0.2,1.5,QUKE,yr1,treat4,dormant_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,224,_132,PreBurn,8/19/2020 17:07,626,L,17.6,8.5,90,S,2.1,1.75,NA,0,NA,NA,PIJE_TSA,0.1,4.5,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,225,_132,PreBurn,8/19/2020 17:07,628,L,72.8,29.6,80,C,8,4.75,NA,0,NA,NA,ROCA_SM,0,5.1,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,226,_132,PreBurn,8/19/2020 17:07,630,L,72.4,32,90,C,12.8,4,NA,0,NA,NA,ROCA_SM,0,1.1,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,239,_133,PreBurn,8/19/2020 17:07,682,L,68.9,13.4,90,C,0.4,2.5,NA,0,NA,NA,PIJE_TSE,2,0.2,QUKE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,240,_133,PreBurn,8/19/2020 17:07,683,L,38.5,6.2,90,I,1.2,2,NA,0,NA,NA,PIJE_TSE,2,0.2,QUKE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,241,_133,PreBurn,8/19/2020 17:07,684,L,9.7,3.5,100,I,0.2,1.25,NA,0,NA,NA,QUKE_TOV,0,0.5,QUKE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,242,_133,PreBurn,8/19/2020 17:07,685,L,8.05,3.2,100,I,0.4,1.25,NA,0,NA,NA,QUKE_TOV,0,0.2,QUKE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,243,_133,PreBurn,8/19/2020 17:07,687,L,84.9,21.4,80,C,12,4.5,NA,0,NA,NA,ERWR_SL,3,3.2,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,244,_133,PreBurn,8/19/2020 17:07,688,L,75.8,23.6,90,C,11.2,4.25,NA,0,NA,NA,QUKE_TSE,0.4,3,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,245,_130,PreBurn,8/19/2020 17:07,637,L,30.4,15.8,60,C,7.2,2.5,NA,1.1,NA,NA,ERWI_SL,1.2,2.8,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,246,_130,PreBurn,8/19/2020 17:07,638,L,51.2,22.2,90,C,7.6,3.5,NA,2,NA,NA,QUKE_TSE,0.1,3,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,247,_130,PreBurn,8/19/2020 17:07,648,L,45.8,19.6,90,C,7.4,2.5,NA,2,NA,NA,CEBE_SM,0,3,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,248,_130,PreBurn,8/19/2020 17:07,640,L,45.9,20.8,100,C,11.4,1.75,NA,3,NA,NA,QUKE_TSA,2,3,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,249,_130,PreBurn,8/19/2020 17:07,641,L,56.9,24.6,100,C,12.4,2.25,NA,1.5,NA,NA,ROCA_SL,0.2,1.5,PIJE,yr1,treat1,leafout_burn,old,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
