,x1,macro_plot_name,monitoring_status,date_x,tag_no,status_x,dbh_x,ht,crwn_rto,crwn_cl,li_cr_b_ht,crwn_rad,decay_cl,char_ht,scorch_ht,cr_sc_pct,comment_x,uv1,uv2,species_symbol,year,treatment,treatment_burn,experiment,date_y,species,status_y,top_kill_y_n,dbh_y,crown_ratio,epicormic_resprout_y_n,basal_resprout_y_n,basal_resprout_height_cm,basal_resprout_width_cm,resprout_count,comment_y,experiment_resprout
131,131,_156,PostBurnYear1,8/30/2021 14:17,151,L,13.95,7,90,I,0.1,1.5,NA,0,NA,NA,NA,NA,NA,QUCH2,controls,treat,control,old,2021,QUCH2,L,N,13.95,90,N,N,NA,NA,NA,NA,old_exp_2021
132,132,_156,PostBurnYear1,8/30/2021 14:17,152,L,26.5,10.2,90,I,0.5,3.5,NA,0,NA,NA,NA,NA,NA,QUCH2,controls,treat,control,old,2021,QUCH2,L,N,26.5,90,N,N,NA,NA,NA,NA,old_exp_2021
133,133,_156,PostBurnYear1,8/30/2021 14:17,153,L,24.9,10.5,90,I,2,3,NA,0,NA,NA,NA,NA,NA,QUCH2,controls,treat,control,old,2021,QUCH2,L,N,24.9,90,N,N,NA,NA,NA,NA,old_exp_2021
134,134,_156,PostBurnYear1,8/30/2021 14:17,154,D,11.35,3.4,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,D,N,11.35,NA,N,N,NA,NA,NA,NA,old_exp_2021
135,135,_156,PostBurnYear1,8/30/2021 14:17,155,L,20.8,10.8,40,I,6.2,1.5,NA,2.5,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,20.8,40,N,N,NA,NA,NA,NA,old_exp_2021
136,136,_156,PostBurnYear1,8/30/2021 14:17,156,L,32.8,12,70,C,5.6,1.75,NA,4,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,32.8,70,N,N,NA,NA,NA,NA,old_exp_2021
137,137,_156,PostBurnYear1,8/30/2021 14:17,157,D,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,D,N,NA,NA,N,N,NA,NA,NA,NA,old_exp_2021
138,138,_156,PostBurnYear1,8/30/2021 14:17,158,L,26.9,9.7,70,I,2.5,1,NA,2,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,26.9,70,N,N,NA,NA,NA,NA,old_exp_2021
139,139,_156,PostBurnYear1,8/30/2021 14:17,159,D,10.3,1.5,NA,NA,NA,NA,5,1.5,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,D,N,10.3,NA,N,N,NA,NA,NA,NA,old_exp_2021
140,140,_156,PostBurnYear1,8/30/2021 14:17,160,L,58.8,9.2,70,C,0.1,4.25,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,L,N,58.8,70,N,N,NA,NA,NA,NA,old_exp_2021
141,141,_156,PostBurnYear1,8/30/2021 14:17,161,L,14.8,8,90,I,2,0.85,NA,0.4,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,14.8,90,N,N,NA,NA,NA,NA,old_exp_2021
142,142,_156,PostBurnYear1,8/30/2021 14:17,162,L,20.3,7,80,S,3.8,1.25,NA,1,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,20.3,80,N,N,NA,NA,NA,NA,old_exp_2021
143,143,_156,PostBurnYear1,8/30/2021 14:17,163,L,31.5,11.8,90,C,2.1,1.45,NA,1.4,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,31.5,90,N,N,NA,NA,NA,NA,old_exp_2021
144,144,_156,PostBurnYear1,8/30/2021 14:17,165,L,13.85,6.2,90,S,1.9,1.2,NA,0.5,NA,NA,NA,NA,NA,PIJE,controls,treat,control,old,2021,PIJE,L,N,13.85,90,N,N,NA,NA,NA,NA,old_exp_2021
145,145,_156,PostBurnYear1,8/30/2021 14:17,166,L,46.1,6.4,90,I,1.1,3.75,NA,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,L,N,46.1,90,N,N,NA,NA,NA,NA,old_exp_2021
146,146,_156,PostBurnYear1,8/30/2021 14:17,167,D,29.3,2.7,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA,QUKE,controls,treat,control,old,2021,QUKE,D,N,29.3,NA,N,N,NA,NA,NA,NA,old_exp_2021
