"","macro_plot_name","monitoring_status","date","size_cl_dia","status","avg_ht","comment","tag_no","top_kill_y_n","resprout_y_n","epicormic_resprout_y_n","basal_resprout_y_n","basal_resprout_height_cm","basal_resprout_width_cm","basal_resprout_count","uv2","uv3","uv1desc","uv2desc","uv3desc","sa_comment","species_symbol","treatment_burn","experiment"
"48","_128","PostBurnYear2","9/26/2022 11:08",0.5,"L",1.52,NA,667,"N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"49","_128","PostBurnYear2","9/26/2022 11:08",0.95,"D",2.1,NA,669,"Y","Y","N","Y",102,126,6,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"50","_129","PostBurnYear2","9/26/2022 11:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"pre_budbreak","old"
"51","_129","PostBurnYear2","9/26/2022 11:09",1.4,"D",2.2,NA,604,"Y","Y","N","Y",80,99,13,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"52","_129","PostBurnYear2","9/26/2022 11:09",0.5,"D",1.5,NA,607,"Y","N","N","Y",84,50,5,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"53","_129","PostBurnYear2","9/26/2022 11:09",0.7,"D",1.65,NA,611,"Y","N","N","Y",70,67,9,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"54","_129","PostBurnYear2","9/26/2022 11:09",1.5,"D",2.4,NA,613,"Y","N","N","Y",74.5,67,8,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"55","_129","PostBurnYear2","9/26/2022 11:09",6.9,"D",5.5,NA,616,"Y","N","N","Y",133,91,9,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"56","_129","PostBurnYear2","9/26/2022 11:09",4.7,"L",4.2,NA,618,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"57","_129","PostBurnYear2","9/26/2022 11:09",1.4,"D",2,NA,619,"Y","N","N","Y",99,73,4,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"58","_129","PostBurnYear2","9/26/2022 11:09",7.6,"L",4.8,NA,620,"N","N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"59","_129","PostBurnYear2","9/26/2022 11:09",0,"D",NA,"Trunk on ground; can't find where it came from.",621,"N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"60","_130","PostBurnYear2","9/26/2022 11:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"61","_130","PostBurnYear2","9/26/2022 11:09",0.4,"D",1.45,NA,639,"Y","Y","N","Y",50,49,7,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"62","_131","PostBurnYear2","9/26/2022 11:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"63","_131","PostBurnYear2","9/26/2022 11:10",0.95,"L",2,"Resprout from dead tree.",675,"N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"64","_131","PostBurnYear2","9/26/2022 11:10",0.8,"L",2,"Resprout from dead tree.",680,"N","Y","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"65","_131","PostBurnYear2","9/26/2022 11:10",3.4,"D",2.1,NA,673,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"66","_132","PostBurnYear2","9/26/2022 11:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
