plot #,Tag #,Species ,Status,Date,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_195,151,QUKE,L,2021,6.1,100,C,2.4,0.9,,0,,,,0,QUKE-TOV,2,
_195,153,PIJE,L,2021,10.6,90,C,3.5,2.25,,4,,,,0,CEPA-SM,3.5,
_195,156,QUKE,D,2021,11.5,,,,,2,0,,,,0,CEPA-ST,1,
_195,159,QUKE,L,2021,7.2,100,I,0.8,2.25,,0,,,,0,QUKE-TSA,3,
_195,162,QUKE,L,2021,6.4,100,I,1.5,1.75,,0,,,,0,QUKE-TOV,3,
_195,163,QUKE,L,2021,7.5,100,I,1.3,2.25,,0,,,,0,QUKE-TSA,4,
_195,165,QUKE,L,2021,6.6,100,I,1.4,2.5,,0,,,,0,SYMO-SL,4.5,
_196,,,,2021,,,,,,,,,,,,,,
_196,166,QUKE,D,2021,3.6,,,,,5,3.8,,,,0.8,PRVI-SM,1.2,
_196,167,QUKE,D,2021,2.4,,,,,5,2.6,,,,0.8,PRVI-SM,1.2,
_196,168,QUKE,L,2021,6.4,100,I,0.9,2.5,,0,,,,0,QUKE-TOV,0,
_196,171,QUKE,L,2021,12,100,C,0.8,4.25,,0,,,,0,QUKE-TOV,2.3,
_196,172,QUKE,D,2021,6.2,,,,,5,0,,,,0,QUKE-TOV,2.5,
_196,173,QUKE,L,2021,10.4,100,C,0.6,5,,0,,,,0,QUKE-TOV,2.5,
_196,174,QUKE,L,2021,8.6,100,I,1.8,2.2,,0,,,,0,QUKE-TOV,4,
_196,175,QUKE,L,2021,11.9,100,C,0.8,5.25,,0,,,,0,QUKE-TOV,5,
_197,,,,2021,,,,,,,,,,,,,,
_197,183,QUKE,L,2021,16.8,90,C,2.5,3.25,,0,,,,0,QUKE-TOV,0.9,
_197,184,QUKE,L,2021,10.6,90,C,0.8,3.5,,0,,,,0,QUKE-TOV,0.8,
_197,185,PIJE,L,2021,11.4,100,C,5,2.5,,2,,,,0.2,QUKE-TSE,0.6,
_197,186,PIJE,L,2021,20.6,100,C,10.2,2.5,,0.7,,,,0,PIJE-TOV,1.8,
_197,187,PIJE,L,2021,20.6,100,C,10.5,1.5,,1,,,,0,PIJE-TOV,1.8,
_198,,,,2021,,,,,,,,,,,,,,
_198,189,QUKE,L,2021,10,90,I,1.9,2.75,,0,,,,0,SYMO-SL,1.2,
_198,190,PIJE,L,2021,18.5,100,D,7.4,3,,3.5,,,,0,QUKE-TOV,1.6,
_198,192,QUKE,L,2021,5.8,100,I,1.4,1.5,,0,,,,0,QUKE-TOV,4.5,
_198,193,QUKE,L,2021,5.2,100,I,1.2,1.1,,0,,,,0,QUKE-TOV,4.6,
_198,194,QUKE,L,2021,10,100,I,1.6,4.9,,0,,,,0,QUKE-TOV,8,
_198,195,QUKE,L,2021,12,100,I,7,3.8,,0,,,,0,QUKE-TOV,8,
_198,197,PIJE,D,2021,20.4,,,,,2,0,,,,0,SYMO-SL,3,
_199,,,,2021,,,,,,,,,,,,,,
_199,212,QUKE,L,2021,13.8,100,C,3.5,6.4,,0,,,,0,QUKE-TOV,1.5,
_199,213,QUKE,L,2021,14,100,C,1.6,4.5,,0,,,,0,QUKE-TOV,1.9,
_199,214,QUKE,D,2021,4.2,,,,,5,4.2,,,,0,QUKE-TOV,1.5,
_199,215,QUKE,D,2021,11,,,,,2,0,,,,0,QUKE-TOV,1.9,
_199,216,QUKE,L,2021,11.2,90,C,1,3.5,,0,,,,0,QUKE-TOV,0.8,
_199,217,PIJE,L,2021,4.6,100,I,2.3,1.2,,0,,,,0,QUKE-TOV,2,
_199,218,PIJE,L,2021,7.8,100,I,1.1,1.8,,1.4,,,,2,PIJE-TOV,2.5,
_199,220,QUKE,L,2021,9,90,C,2.8,3.6,,0,,,,0,QUKE-TOV,0,
_199,221,QUKE,L,2021,9.6,90,C,2.1,4.2,,0,,,,0,QUKE-TOV,0,
_199,222,PIJE,L,2021,12.6,100,C,4.4,1.9,,1,,,,0,QUKE-TOV,1.6,
_199,223,PIJE,L,2021,6.2,100,I,3.6,2.15,,2,,,,0.4,QUKE-TOV,1.4,
_199,224,QUKE,L,2021,10.8,80,C,3.2,6.1,,0,,,,0,QUKE-TOV,0.2,
_200,,,,2021,,,,,,,,,,,,,,
_200,199,QUKE,D,2021,4.4,,,,,5,0,,,,0,CEPA-ST,7,
_200,202,QUKE,L,2021,5.9,100,I,0.6,1.3,,0,,,,0,QUKE-TOV,6,
_200,203,QUKE,L,2021,6.4,100,I,2.6,2.9,,0,,,,0,QUKE-TOV,6,
_200,204,QUKE,L,2021,6.2,100,I,0.6,1.75,,0,,,,0,QUKE-TOV,6,
_200,205,QUKE,L,2021,6.3,100,I,0.2,2.5,,0,,,,0,QUKE-TOV,6,
_200,206,QUKE,L,2021,6.5,100,I,0.9,2.6,,0,,,,0,QUKE-TOV,7,
_200,207,QUKE,L,2021,11,100,C,1,5.25,,0,,,,0,QUKE-TOV,2,
_200,208,QUKE,L,2021,15,90,C,1,7,,0,,,,0,QUKE-TOV,2,
_200,209,QUKE,L,2021,14.8,100,C,3.1,5,,0,,,,0,QUKE-TOV,2,
_200,210,PIJE,L,2021,5,100,S,0.9,1,,0,,,,0,QUKE-TOV,2,
_200,211,QUKE,L,2021,9.5,100,I,0.5,3.2,,0,,,,0,PIJE-TOV,0.2,
