"MacroPlot.Name","Monitoring.Status","Date","Index","IsVerified","QTR","SubFrac","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","UV3","MacroPlotSize","SnagPlotSize","BrkPntDia","FieldTeam","EntryTeam","UV1Desc","UV2Desc","UV3Desc","SaComment","Species.Symbol","Visited","X"
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483642,"False",NA,1,668,"L",43.8,18.2,90,"C",6.4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SYMO_SL",0,1,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_128","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483641,"False",NA,1,670,"L",12.1,6.2,70,"S",1.5,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSA",0,0.1,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",NA,"",NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0.04,0.04,7.6,NA,NA,"D. to Plant","D. to CWD",NA,"neighbor","","True",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483648,"False",NA,1,674,"L",36.8,11.4,90,"C",0,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_DTOV",0,2,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483647,"False",NA,1,675,"D",49.6,12.2,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483646,"False",NA,1,676,"D",48.1,15.8,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483645,"False",NA,1,677,"L",37.4,12.8,90,"C",5,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",0.1,1.8,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483644,"False",NA,1,678,"L",21.3,9.4,40,"I",1.5,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCA_SL",2,0,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483643,"False",NA,1,679,"L",63.3,22.4,80,"D",6,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",0.3,0,NA,NA,NA,NA,NA,NA,"","",NA,"","PIJE","",NA
"_131","PreBurnYear1","8/19/2020 5:07:02 PM",-2147483642,"False",NA,1,680,"L",41.7,11.4,90,"C",8.5,NA,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",2,0,NA,NA,NA,NA,NA,NA,"","",NA,"","QUKE","",NA
