"MacroPlot.Name","Monitoring.Status","Date","TagNo","Status","DBH","Ht","CrwnRto","CrwnCl","LiCrBHt","CrFuBHt","CrwnRad","Age","GrwthRt","Mort","DecayCl","LaddBaseHt","LaddMaxHt","DRC","NuLiStems","NuDeStems","EqDia","XCoord","YCoord","CKR","CharHt","ScorchHt","CrScPct","DamCd1","DamSev1","DamCd2","DamSev2","DamCd3","DamSev3","DamCd4","DamSev4","DamCd5","DamSev5","Comment","UV1","UV2","SnagPlotSize","BrkPntDia","Species.Symbol","X"
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",537,"L",39.3,13.8,70,"C",4.4,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",0.8,0.6,NA,NA,"PIJE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",538,"L",11.15,6,90,"I",0.3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",1,0,NA,NA,"QUKE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",539,"L",4.6,7.6,90,"I",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TOV",1,1.1,NA,NA,"QUKE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",540,"L",6.85,3.8,70,"I",0.7,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",0.4,1,NA,NA,"QUKE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",541,"L",22.8,9.2,70,"C",1,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",3,0,NA,NA,"PIJE",NA
"_143","PreBurnYear1","8/19/2020 8:54:15 AM",543,"L",31.3,13,80,"C",3.2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",1.5,0.8,NA,NA,"PIJE",NA
"_144","PreBurnYear1","8/19/2020 8:54:15 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_144","PreBurnYear1","8/19/2020 8:54:15 AM",525,"D",27,9.4,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE_SL",5,3.8,NA,NA,"PIJE",NA
"_144","PreBurnYear1","8/19/2020 8:54:15 AM",526,"L",20.1,6.2,80,"I",1.2,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE_ST",0,0.7,NA,NA,"PIJE",NA
"_144","PreBurnYear1","8/19/2020 8:54:15 AM",527,"L",37.95,9.6,80,"C",0.4,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CEBE_SM",1,5,NA,NA,"QUKE",NA
"_144","PreBurnYear1","8/19/2020 8:54:15 AM",528,"L",54.1,19.6,90,"C",8.8,NA,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",5.5,0.8,NA,NA,"PIJE",NA
"_144","PreBurnYear1","8/19/2020 8:54:15 AM",529,"L",39.5,16.8,70,"C",9.6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",3,3,NA,NA,"PIJE",NA
"_144","PreBurnYear1","8/19/2020 8:54:15 AM",530,"L",70.45,25.4,80,"D",12.6,NA,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",4,4.2,NA,NA,"PIJE",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,0.04,7.6,"",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",514,"L",28.9,12.6,80,"I",4.4,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",4,3.4,NA,NA,"PIJE",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",515,"L",12.1,5.6,60,"S",2,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERWR_SL",0.6,4.1,NA,NA,"PIJE",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",516,"L",52.55,18.8,80,"C",9,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",0.5,3,NA,NA,"PIJE",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",517,"L",11.1,5,60,"S",1.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE_TOV",0.5,2,NA,NA,"PIJE",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",518,"L",18.7,9.2,70,"I",4,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",2,2.5,NA,NA,"PIJE",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",519,"L",44.8,19,80,"C",7.2,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",1,2,NA,NA,"PIJE",NA
"_140","PreBurnYear1","8/19/2020 8:54:15 AM",520,"L",19.15,12.4,70,"I",4.4,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE_TSE",1,7,NA,NA,"PIJE",NA
