MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_146,PostBurnYear2,9/26/2022 10:47,-2147483644,2.35,Ll,1,1.9,,1,,853,N,N,N,N,,,,,,,,,,,,,PIJE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483643,1.8,L,1,2.1,,1,,856,N,N,N,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483642,3.8,L,1,3.2,,1,,857,N,N,N,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483641,2.25,L,1,2.1,,1,,858,N,Y,N,Y,77,82,1,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483640,2.2,L,1,2.4,,1,,859,N,N,N,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483639,5.4,L,1,4.2,,1,,860,N,N,N,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483638,5.95,L,1,4.7,,1,,861,N,N,N,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483637,0.4,L,1,1.5,,1,,862,N,Y,N,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483636,5.6,L,1,5,,1,,863,N,N,N,Y,70,76,15,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483635,2,L,1,2.2,,1,,864,N,Y,Y,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483634,4.4,L,1,2.4,,1,,865,N,Y,N,N,,,,,,,,,,,,,QUKE,
_146,PostBurnYear2,9/26/2022 10:47,-2147483633,0.6,D,1,1.8,,1,,867,Y,Y,N,Y,77,103,7,,,,,,,,,,QUKE,
_147,PostBurnYear2,9/26/2022 10:49,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_147,PostBurnYear2,9/26/2022 10:49,-2147483648,6.4,L,1,5.3,,1,,860,N,N,N,Y,170,115,1,,,,,,,,,,QUKE,
_147,PostBurnYear2,9/26/2022 10:49,-2147483647,7.65,D,1,5,,1,,861,N,N,N,N,,,,,,,,,,,,,QUKE,
_147,PostBurnYear2,9/26/2022 10:49,-2147483646,2.85,L,1,2,,1,,862,N,N,N,Y,34,88,3,,,,,,,,,,QUKE,
_147,PostBurnYear2,9/26/2022 10:49,-2147483645,3.65,L,1,3.3,,1,,865,N,N,Y,N,,,,,,,,,,,,,QUKE,
_147,PostBurnYear2,9/26/2022 10:49,-2147483644,0.55,L,1,1.45,,1,,866,N,Y,N,N,,,,,,,,,,,,,QUKE,
